time,v,bsoc,i
830927,141487,286,6693
831427,141485,287,6690
831928,141485,288,6692
832428,141482,289,6691
832929,141479,290,6692
833429,141480,291,6690
833930,141480,292,6689
834430,141478,293,6690
834931,141476,294,6693
835431,141476,295,6689
835932,141473,295,6693
836432,141472,296,6693
836933,141469,297,6692
837433,141467,298,6692
837934,141467,299,6693
838434,141464,300,6694
838935,141466,301,6688
839435,141460,302,6691
839936,141461,303,6692
840436,141460,304,6693
840937,141458,305,6695
841437,141458,306,6695
841938,141455,307,6697
842438,141453,308,6694
842939,141453,308,6695
843439,141450,309,6694
843940,141450,310,6695
844440,141449,311,6699
844941,141448,312,6694
845441,141446,313,6696
846442,141443,315,6691
846943,141441,316,6690
847443,141439,317,6690
847944,141439,318,6696
848444,141437,319,6690
848945,141436,320,6694
849445,141436,321,6687
849946,141435,321,6687
850446,141434,322,6688
850947,141433,323,6688
851447,141431,324,6691
851948,141428,325,6690
852448,141428,326,6690
852949,141425,327,6691
853449,141425,328,6692
853950,141419,329,6690
854450,141420,330,6685
854951,141422,331,6685
855451,141418,332,6686
855952,141418,333,6686
856452,141416,334,6687
856953,141415,334,6689
857453,141412,335,6687
857954,141413,336,6687
858454,141409,337,6688
858955,141407,338,6687
859455,141405,339,6689
859956,141408,340,6688
860456,141406,341,6687
860957,141406,342,6692
861457,141403,343,6691
861958,141399,344,6688
862458,141398,345,6694
862959,141397,346,6688
863459,141397,347,6687
863960,141396,347,6690
864460,141395,348,6691
864961,141392,349,6691
865461,141392,350,6689
865962,141391,351,6695
866462,141391,352,6693
866963,141390,353,6694
867463,141388,354,6694
867964,141387,355,6689
868464,141385,356,6692
868965,141384,357,6695
869465,141381,358,6690
869966,141382,359,6684
870466,141379,360,6688
870967,141380,360,6689
871467,141376,361,6691
871968,141374,362,6688
872468,141375,363,6690
872969,141373,364,6689
873469,141373,365,6693
873970,141369,366,6688
874470,141369,367,6687
874971,141367,368,6689
875471,141365,369,6693
875972,141365,370,6686
876472,141365,371,6695
876973,141363,372,6693
877473,141362,373,6693
877974,141363,373,6693
878474,141359,374,6691
878975,141358,375,6691
879475,141359,376,6691
879976,141354,377,6694
880476,141354,378,6692
880977,141354,379,6687
881477,141353,380,6693
881978,141351,381,6690
882478,141348,382,6692
882979,141347,383,6685
883479,141346,384,6691
883980,141346,385,6687
884480,141346,386,6688
884981,141343,386,6688
885481,141342,387,6691
885982,141344,388,6692
886482,141341,389,6686
886983,141340,390,6688
887483,141342,391,6690
887984,141338,392,6692
888484,141335,393,6696
888985,141335,394,6690
889485,141334,395,6686
889986,141334,396,6691
890486,141332,397,6690
890987,141331,398,6690
891487,141329,399,6693
891988,141330,399,6690
892989,141327,401,6689
893489,141325,402,6691
893990,141325,403,6694
894490,141323,404,6692
894991,141320,405,6690
895491,141321,406,6694
895992,141318,407,6695
896492,141317,408,6693
896993,141317,409,6686
897493,141318,410,6691
897994,141315,411,6690
898494,141313,412,6688
898995,141311,412,6690
899495,141311,413,6693
899996,141309,414,6692
900496,141309,415,6692
900997,141310,416,6691
901497,141308,417,6692
901998,141306,418,6696
902498,141304,419,6694
902999,141301,420,6692
903499,141303,421,6692
904000,141301,422,6692
904500,141300,423,6696
905001,141298,424,6699
905501,141299,425,6697
906002,141296,425,6696
906502,141295,426,6694
907003,141294,427,6697
907503,141294,428,6695
908004,141293,429,6697
908504,141292,430,6695
909005,141292,431,6695
909505,141291,432,6694
910006,141291,433,6694
910506,141288,434,6693
911007,141287,435,6695
911507,141286,436,6695
912008,141285,437,6699
912508,141284,438,6695
913009,141282,438,6694
913509,141281,439,6693
914010,141280,440,6695
914510,141277,441,6693
915011,141277,442,6699
915511,141276,443,6692
916012,141274,444,6695
916512,141274,445,6690
917013,141271,446,6690
917513,141271,447,6696
918014,141271,448,6691
918514,141270,449,6692
919015,141270,450,6693
919515,141268,451,6692
920016,141268,451,6692
920516,141265,452,6690
921017,141265,453,6693
921517,141263,454,6689
922018,141262,455,6691
922518,141261,456,6689
923019,141262,457,6693
923519,141260,458,6689
924019,141257,459,6691
924519,141257,460,6690
925019,141256,461,6689
925519,141255,462,6688
926019,141255,463,6690
926519,141252,464,6688
927019,141251,464,6688
927519,141249,465,6687
928019,141249,466,6686
928519,141247,467,6690
929019,141248,468,6692
929519,141247,469,6690
930519,141245,471,6689
931019,141241,472,6696
931519,141241,473,6692
932019,141239,474,6692
932519,141238,475,6690
933019,141236,476,6689
933519,141235,477,6690
934019,141235,477,6686
934519,141234,478,6689
935019,141234,479,6687
935519,141234,480,6692
936019,141233,481,6689
936519,141229,482,6694
937019,141229,483,6693
937519,141227,484,6693
938019,141228,485,6691
938519,141229,486,6689
939019,141226,487,6694
939519,141226,488,6692
940019,141223,489,6695
940519,141222,490,6693
941019,141222,490,6695
941519,141222,491,6694
942019,141220,492,6698
942519,141219,493,6699
943019,141216,494,6695
943519,141217,495,6697
944019,141217,496,6693
944519,141215,497,6693
945019,141213,498,6702
945519,141212,499,6696
946019,141213,500,6693
946519,141209,501,6693
947019,141211,502,6691
947519,141209,503,6693
948019,141207,504,6694
948519,141207,504,6695
949019,141206,505,6696
949519,141206,506,6695
950019,141205,507,6698
950519,141203,508,6694
951019,141203,509,6697
951519,141202,510,6697
952019,141200,511,6695
952519,141199,512,6695
953019,141197,513,6694
953519,141196,514,6693
954019,141196,515,6691
954519,141196,516,6694
955019,141193,517,6697
955519,141193,517,6700
956019,141193,518,6697
956519,141191,519,6693
957019,141190,520,6691
957519,141189,521,6693
958019,141186,522,6694
958519,141186,523,6693
959019,141185,524,6694
959519,141185,525,6695
960019,141184,526,6692
960519,141181,527,6692
961019,141179,528,6696
961519,141180,529,6693
962019,141180,530,6694
962519,141179,530,6695
963019,141179,531,6696
963519,141176,532,6697
964019,141176,533,6699
964519,141174,534,6701
965019,141172,535,6699
965519,141172,536,6699
966019,141171,537,6696
966519,141173,538,6694
967019,141170,539,6697
967519,141169,540,6697
968019,141169,541,6695
968519,141169,542,6697
969019,141169,543,6694
969519,141167,543,6695
970019,141165,544,6695
970519,141165,545,6697
971019,141161,546,6692
971519,141162,547,6693
972019,141161,548,6692
972519,141160,549,6693
973019,141159,550,6694
973519,141158,551,6692
974019,141156,552,6691
974519,141156,553,6691
975019,141155,554,6692
975519,141155,555,6695
976019,141156,556,6696
976519,141154,556,6693
977019,141151,557,6693
977519,141151,558,6697
978019,141153,559,6694
978519,141148,560,6689
979019,141148,561,6694
979519,141149,562,6693
980019,141147,563,6692
980519,141148,564,6692
981019,141147,565,6692
981519,141145,566,6698
982019,141145,567,6695
982519,141144,568,6699
983019,141142,569,6697
983519,141141,569,6698
984019,141140,570,6697
985019,141138,572,6693
985519,141136,573,6697
986019,141136,574,6693
986519,141137,575,6696
987019,141135,576,6691
987519,141135,577,6691
988019,141134,578,6695
989019,141132,580,6692
989519,141132,581,6698
990019,141129,582,6698
990519,141127,582,6696
991019,141126,583,6695
991519,141126,584,6695
992019,141126,585,6697
992519,141125,586,6699
993019,141124,587,6693
993519,141123,588,6691
994019,141121,589,6696
994519,141119,590,6695
995019,141119,591,6696
995519,141117,592,6696
996019,141116,593,6691
996519,141119,594,6694
997019,141117,595,6697
997519,141117,596,6697
998019,141115,596,6694
998519,141115,597,6696
999019,141112,598,6697
999519,141112,599,6693
1000019,141110,600,6698
1000519,141111,601,6698
1001019,141109,602,6694
1001519,141108,603,6696
1002019,141109,604,6692
1002519,141106,605,6694
1003019,141108,606,6695
1003519,141106,607,6693
1004019,141105,608,6697
1004519,141103,609,6695
1005019,141103,609,6699
1005519,141101,610,6697
1006019,141100,611,6697
1006519,141099,612,6697
1007019,141101,613,6695
1007519,141099,614,6697
1008019,141098,615,6692
1008519,141095,616,6696
1009019,141093,617,6692
1009519,141094,618,6698
1010019,141094,619,6692
1010519,141092,620,6699
1011019,141092,621,6692
1011519,141092,622,6698
1012019,141091,622,6697
1012519,141088,623,6694
1013019,141089,624,6696
1013519,141087,625,6696
1014019,141087,626,6695
1014519,141086,627,6697
1015019,141086,628,6695
1015519,141085,629,6697
1016019,141085,630,6699
1016519,141084,631,6695
1017019,141081,632,6698
1017519,141079,633,6698
1018019,141081,634,6696
1018519,141080,635,6697
1019019,141079,635,6697
1019519,141078,636,6700
1020019,141078,637,6699
1020519,141076,638,6698
